task_name,instance_num,job_name,task_type,status,start_time,end_time,plan_cpu,plan_mem,duration
R2_1,0.0,j_2,1.0,Terminated,87076.0,87086.0,0.2456635586004333,0.12809836121440454,0.9967609901754252
M1,0.0,j_2,1.0,Terminated,87076.0,87083.0,0.2456635586004333,0.12809836121440454,0.9967562455321275
R6_3,0.028804982483456597,j_3,1.0,Terminated,157297.0,157325.0,0.4971090390669555,0.31821225237818096,0.9967894580352115
J4_2_3,0.08641494745036979,j_3,1.0,Terminated,157329.0,157376.0,0.4971090390669555,0.38376876657258663,0.9968195074427637
R2_1,0.0,j_3,1.0,Terminated,157322.0,157328.0,0.4971090390669555,0.25265573818377535,0.9967546639843615
J8_3_7,0.08641494745036979,j_3,1.0,Terminated,157331.0,157376.0,0.4971090390669555,0.38376876657258663,0.9968163443472319
M3,1.0,j_3,1.0,Terminated,157213.0,157295.0,0.4971090390669555,0.1936548754088102,0.9968748616145704
R9_8,0.0,j_3,1.0,Terminated,157376.0,157381.0,0.4971090390669555,0.25265573818377535,0.9967530824365957
R1_3,0.028804982483456597,j_3,1.0,Terminated,157297.0,157322.0,0.4971090390669555,0.31821225237818096,0.9967847133919138
R5_4,0.0,j_3,1.0,Terminated,157376.0,157381.0,0.4971090390669555,0.25265573818377535,0.9967530824365957
R7_6,0.0,j_3,1.0,Terminated,157326.0,157330.0,0.4971090390669555,0.25265573818377535,0.9967515008888298
M1,0.0,j_7,1.0,Terminated,299703.0,299707.0,0.4971090390669555,0.1936548754088102,0.9967515008888298
R2_1,0.0,j_7,1.0,Terminated,299707.0,299710.0,0.4971090390669555,0.25265573818377535,0.9967499193410638
R5_4,0.0,j_8,1.0,Terminated,316284.0,316295.0,0.2456635586004333,0.12809836121440454,0.996762571723191
M6,0.08851693265862204,j_8,1.0,Terminated,316284.0,316297.0,0.2456635586004333,0.12809836121440454,0.9967657348187229
R16_15,0.0,j_8,1.0,Terminated,316284.0,316310.0,0.2456635586004333,0.12809836121440454,0.9967862949396796
R10_9,0.0,j_8,1.0,Terminated,316284.0,316294.0,0.2456635586004333,0.12809836121440454,0.9967609901754252
M1,0.0,j_8,1.0,Terminated,316284.0,316295.0,0.2456635586004333,0.12809836121440454,0.996762571723191
R15_14,0.0,j_8,1.0,Terminated,316284.0,316310.0,0.2456635586004333,0.12809836121440454,0.9967862949396796
M8,0.0,j_8,1.0,Terminated,316284.0,316294.0,0.2456635586004333,0.12809836121440454,0.9967609901754252
M11,0.008952899961074347,j_8,1.0,Terminated,316284.0,316302.0,0.2456635586004333,0.12809836121440454,0.9967736425575524
J13_2_5_7_12,0.0001557026080186843,j_8,1.0,Terminated,316284.0,316310.0,0.2456635586004333,0.12809836121440454,0.9967862949396796
J12_10_11,0.0,j_8,1.0,Terminated,316284.0,316302.0,0.2456635586004333,0.12809836121440454,0.9967736425575524
