task_create_time,task_end_time,job_id,task_id,num_instances,status,cpus_requested,memory_requested
6457,6533,3,5,1,Terminated,50.0,0.0043952061708901
6036,6046,4,7,393,Waiting,,
6036,6046,4,6,452,Waiting,,
10719,11332,15,67,1705,Terminated,50.0,0.0057360287836823
10718,11164,15,66,631,Terminated,50.0,0.0160070406129474
10718,10916,15,65,300,Terminated,50.0,0.0186576243108223
10718,12897,15,64,2003,Terminated,50.0,0.0160070406129474
11792,11999,18,88,257,Terminated,50.0,0.0133564569150726
11792,14331,18,82,1559,Terminated,50.0,0.0160070406129474
11792,12112,18,91,321,Terminated,50.0,0.0133564569150726
11792,11958,18,89,10,Terminated,50.0,0.0133564569150726
11792,12173,18,83,387,Terminated,50.0,0.0133564569150726
11792,11801,18,90,1,Terminated,50.0,0.0040431755235161
11792,11796,18,84,1,Terminated,50.0,0.0039655217042424
11792,11957,18,87,115,Terminated,50.0,0.0104987963658012
11792,11846,18,86,27,Terminated,50.0,0.0160070406129474
11792,13453,18,85,1414,Terminated,50.0,0.0213082080086972
11792,12302,18,81,347,Terminated,50.0,0.0133564569150726
16281,16552,27,147,27,Terminated,50.0,0.0085522739626743
16281,16396,27,139,103,Terminated,50.0,0.0133564569150726
16281,16529,27,137,611,Terminated,50.0,0.0089353661377578
16281,16343,27,149,11,Terminated,50.0,0.0087075816012217
16281,16338,27,138,15,Terminated,50.0,0.0085315662775347
16281,16290,27,140,1,Terminated,50.0,0.0040742370512256
16281,16480,27,141,195,Terminated,50.0,0.0160070406129474
16281,16328,27,142,54,Terminated,50.0,0.0080501125980379
16281,16313,27,143,3,Terminated,50.0,0.0080552895193228
16281,16540,27,145,91,Terminated,50.0,0.0091062045401599
16281,16332,27,144,2,Terminated,50.0,0.0133564569150726
16281,16547,27,146,87,Terminated,50.0,0.0081743587088758
16281,16351,27,150,7,Terminated,50.0,0.0088887738461936
16281,16558,27,148,23,Terminated,50.0,0.0080190510703284
16341,16391,28,151,61,Running,50.0,0.0079362203297698
16341,16391,28,153,407,Failed,50.0,0.0160070406129474
16341,16391,28,152,23,Running,50.0,0.0133564569150726
16341,16391,28,154,261,Running,50.0,0.0082054202365853
21669,21695,44,249,1,Terminated,50.0,0.0040742370512256
21669,21676,44,244,1,Terminated,50.0,0.0040845908937954
21669,26168,44,243,721,Terminated,50.0,0.0057360287836823
21668,25044,44,242,251,Terminated,50.0,0.0057360287836823
21669,27412,44,240,2199,Terminated,50.0,0.0213082080086972
21668,29473,44,241,1,Terminated,50.0,0.0042916677451919
21668,21677,44,245,1,Terminated,50.0,0.0040431755235161
21669,24779,44,247,892,Terminated,50.0,0.0160070406129474
21668,24936,44,250,99,Terminated,50.0,0.0085056816711101
21669,29445,44,248,846,Terminated,50.0,0.0090026661144617
21669,21695,44,251,1,Terminated,50.0,0.0040794139725105
21669,21690,44,246,2,Terminated,50.0,0.0041052985789351
21677,24458,46,261,1651,Terminated,50.0,0.0213082080086972
21677,21700,46,270,1,Terminated,50.0,0.0040845908937954
21677,23335,46,262,380,Terminated,50.0,0.0057360287836823
21677,21684,46,263,1,Terminated,50.0,0.0040431755235161
21677,26680,46,267,868,Terminated,50.0,0.0085263893562498
21677,26699,46,260,1,Terminated,50.0,0.0041933062407786
21677,21700,46,268,1,Terminated,50.0,0.0040845908937954
21677,23092,46,266,445,Terminated,50.0,0.0160070406129474
21677,21685,46,264,1,Terminated,50.0,0.0040897678150803
21677,21695,46,265,2,Terminated,50.0,0.0040742370512256
21677,23248,46,269,99,Terminated,50.0,0.00822095100044
21713,23366,52,329,1656,Terminated,50.0,0.0160070406129474
21713,23271,52,336,425,Terminated,50.0,0.0160070406129474
21713,21723,52,340,1,Terminated,50.0,0.0038982217275386
21712,27149,52,320,805,Terminated,50.0,0.0160070406129474
21712,27869,52,321,750,Terminated,50.0,0.0087024046799368
21712,21717,52,327,1,Terminated,50.0,0.0040897678150803
21713,22211,52,334,335,Terminated,50.0,0.0101674734035668
21713,21719,52,328,1,Terminated,50.0,0.0054047058214479
21713,23530,52,337,341,Terminated,50.0,0.0160070406129474
21713,25618,52,343,735,Terminated,50.0,0.0213082080086972
21713,24508,52,342,799,Terminated,50.0,0.0160070406129474
21713,23246,52,338,425,Terminated,50.0,0.0160070406129474
21712,27616,52,318,933,Terminated,50.0,0.0160070406129474
21713,23529,52,351,315,Terminated,50.0,0.0160070406129474
21713,23162,52,350,411,Terminated,50.0,0.0133564569150726
21713,27881,52,344,5,Terminated,50.0,0.0081070587321719
21713,21748,52,346,1,Terminated,50.0,0.0040949447363652
21713,21742,52,330,1,Terminated,50.0,0.0040742370512256
21712,28387,52,322,1,Terminated,50.0,0.00411047550022
21712,26205,52,319,1031,Terminated,50.0,0.0160070406129474
21713,28056,52,332,537,Terminated,50.0,0.0086972277586519
21713,21746,52,324,2396,Terminated,50.0,0.0080552895193228
21713,22326,52,335,279,Terminated,50.0,0.0104573809955219
21713,23720,52,348,696,Terminated,50.0,0.0160070406129474
21713,21737,52,341,1,Terminated,50.0,0.0040638832086558
21713,21991,52,325,890,Terminated,50.0,0.0094685890301037
21712,22868,52,326,891,Terminated,50.0,0.0160070406129474
21712,26178,52,317,1021,Terminated,50.0,0.0160070406129474
21713,28071,52,333,1,Terminated,50.0,0.0080552895193228
21713,23512,52,339,341,Terminated,50.0,0.0160070406129474
